"zona","state","municipio","head","hotel"
"1","Cancun","Cancun","Cancun","Krystal Grand Punta Cancun"
"1","Cancun","Cancun","Cancun","La Palma Hotel & Club Nautico"
"1","Cancun","Cancun","Cancun","La Villa Du Golf a Cancun"
"1","Cancun","Cancun","Cancun","Laguna Suites Cancun"
"1","Cancun","Cancun","Cancun","Laguna Verde"
"1","Cancun","Cancun","Cancun","Le Blanc Spa Resort Cancun"
"1","Cancun","Cancun","Cancun","Live Aqua Cancun"
"1","Cancun","Cancun","Cancun","Marina Chac Chi"
"1","Cancun","Cancun","Cancun","Marriott Cancun Resort"
"1","Cancun","Cancun","Cancun","Maya Caribe Beach House"
"1","Cancun","Cancun","Cancun","Mayafair Design Hotel Cancun"
"1","Cancun","Cancun","Cancun","Mayan Monkey Hostel Cancun"
"1","Cancun","Cancun","Cancun","Me By Melia"
"1","Cancun","Cancun","Cancun","Me Cancun"
"1","Cancun","Cancun","Cancun","Melody Maker Cancun"
"1","Cancun","Cancun","Cancun","Miramar Mision Cancún Class"
"1","Cancun","Cancun","Cancun","Moon Palace Grand Cancun"
"1","Cancun","Cancun","Cancun","Moon Palace Nizuk Golf & Spa Resort Cancun"
"1","Cancun","Cancun","Cancun","Moon Palace Sunrise & Spa Resort Cancun"
"1","Cancun","Cancun","Cancun","Nichupte Destination Spa Cancun"
"1","Cancun","Cancun","Cancun","Nirvana Hostel Cancun"
"1","Cancun","Cancun","Cancun","Nizuc Resort & Spa Cancun"
"1","Cancun","Cancun","Cancun","Now Emerald Cancun"
"1","Cancun","Cancun","Cancun","NYX Hotel Cancun"
"1","Cancun","Cancun","Cancun","Oasis Beach & Spa"
"1","Cancun","Cancun","Cancun","Oasis Cancun"
"1","Cancun","Cancun","Cancun","Oasis Cancun Lite"
"1","Cancun","Cancun","Cancun","Oasis Palm Beach Cancun"
"1","Cancun","Cancun","Cancun","Oasis Palm Cancun"
"1","Cancun","Cancun","Cancun","Occidental Tucancún"
"1","Cancun","Cancun","Cancun","Ocean Club Suites Cancun"
"1","Cancun","Cancun","Cancun","Ocean Dream BPR Cancun"
"1","Cancun","Cancun","Cancun","Ocean Spa Hotel"
"1","Cancun","Cancun","Cancun","Oleo Cancun Playa"
"1","Cancun","Cancun","Cancun","Omni Cancun Hotel & Villas"
"1","Cancun","Cancun","Cancun","Panama Jack Resorts Gran Caribe Cancun"
"1","Cancun","Cancun","Cancun","Paradisus Cancun"
"1","Cancun","Cancun","Cancun","Park Royal Cancun"
"1","Cancun","Cancun","Cancun","Park Royal Pirámides Cancún"
"1","Cancun","Cancun","Cancun","Pok-ta-pok 28 Cancun"
"1","Cancun","Cancun","Cancun","Presidente Intercontinental Cancun"
"1","Cancun","Cancun","Cancun","Private Destination Cancun"
"1","Cancun","Cancun","Cancun","Q-Bay Cancun"
"1","Cancun","Cancun","Cancun","Real Inn Cancun"
"1","Cancun","Cancun","Cancun","Reflect Krystal Grand Cancun"
"1","Cancun","Cancun","Cancun","Retorno Del Rey 14 Cancun"
"1","Cancun","Cancun","Cancun","Riu Palace Las Americas"
"1","Cancun","Cancun","Cancun","Riu Palace Peninsula Cancun"
"1","Cancun","Cancun","Cancun","Riu Peninsula"
"1","Cancun","Cancun","Cancun","Riviera Cancun Golf Club"
