"id","zona","title_zone","id_agency","type_unit","place_service","tariff"
"107","8",NULL,"11","2","CORREDOR","850.00"
"108","9",NULL,"11","1","CORREDOR","1500.00"
"109","9",NULL,"11","2","CORREDOR","1000.00"
"110","10",NULL,"11","1","CORREDOR","1600.00"
"111","10",NULL,"11","2","CORREDOR","1100.00"
"112","11",NULL,"11","1","CORREDOR","2000.00"
"113","11",NULL,"11","2","CORREDOR","1500.00"
"114","12",NULL,"11","1","CORREDOR","2200.00"
"115","12",NULL,"11","2","CORREDOR","1700.00"
"116","13",NULL,"11","2","CORREDOR","3500.00"
"117","1",NULL,"10","1","LOCAL","850.00"
"118","1",NULL,"10","2","LOCAL","450.00"
"119","2",NULL,"10","1","LOCAL","850.00"
"120","2",NULL,"10","2","LOCAL","450.00"
"121","3",NULL,"10","1","LOCAL","850.00"
"122","3",NULL,"10","2","LOCAL","700.00"
"123","4",NULL,"10","1","LOCAL","1000.00"
"124","4",NULL,"10","2","LOCAL","700.00"
"125","5",NULL,"10","1","LOCAL","950.00"
"126","5",NULL,"10","2","LOCAL","600.00"
"127","6",NULL,"10","2","CORREDOR","700.00"
"128","7",NULL,"10","1","CORREDOR","1250.00"
"129","7",NULL,"10","2","CORREDOR","850.00"
"130","8",NULL,"10","1","CORREDOR","1250.00"
"131","8",NULL,"10","2","CORREDOR","850.00"
"132","9",NULL,"10","1","CORREDOR","1500.00"
"133","9",NULL,"10","2","CORREDOR","1000.00"
"134","10",NULL,"10","1","CORREDOR","1600.00"
"135","10",NULL,"10","2","CORREDOR","1100.00"
"136","11",NULL,"10","1","CORREDOR","2000.00"
"137","11",NULL,"10","2","CORREDOR","1500.00"
"138","12",NULL,"10","1","CORREDOR","2200.00"
"139","12",NULL,"10","2","CORREDOR","1700.00"
"140","13",NULL,"10","2","CORREDOR","3500.00"
"141","1",NULL,"26","1","LOCAL","700.00"
"142","1",NULL,"26","2","LOCAL","400.00"
"143","2",NULL,"26","1","LOCAL","700.00"
"144","2",NULL,"26","2","LOCAL","400.00"
"145","3",NULL,"26","1","LOCAL","800.00"
"146","3",NULL,"26","2","LOCAL","600.00"
"147","4",NULL,"26","1","LOCAL","800.00"
"148","4",NULL,"26","2","LOCAL","600.00"
"149","5",NULL,"26","1","LOCAL","1000.00"
"150","5",NULL,"26","2","LOCAL","600.00"
"151","6",NULL,"26","1","CORREDOR","1000.00"
"152","6",NULL,"26","2","CORREDOR","700.00"
"153","7",NULL,"26","1","CORREDOR","1250.00"
"154","7",NULL,"26","2","CORREDOR","850.00"
"155","8",NULL,"26","1","CORREDOR","1250.00"
"156","8",NULL,"26","2","CORREDOR","850.00"
"157","9",NULL,"26","1","CORREDOR","1500.00"
"158","9",NULL,"26","2","CORREDOR","1000.00"
"159","10",NULL,"26","1","CORREDOR","1600.00"
"160","10",NULL,"26","2","CORREDOR","1000.00"
"161","11",NULL,"26","1","CORREDOR","2200.00"
"162","11",NULL,"26","2","CORREDOR","1500.00"
"163","12",NULL,"26","1","CORREDOR","2300.00"
"164","12",NULL,"26","2","CORREDOR","1700.00"
"165","13",NULL,"26","1","CORREDOR","4000.00"
"166","13",NULL,"26","2","CORREDOR","3200.00"
"167","1",NULL,"2","1","LOCAL","750.00"
"168","1",NULL,"2","2","LOCAL","400.00"
"169","2",NULL,"2","1","LOCAL","750.00"
"170","2",NULL,"2","2","LOCAL","400.00"
"171","3",NULL,"2","1","LOCAL","1000.00"
"172","3",NULL,"2","2","LOCAL","600.00"
"173","4",NULL,"2","1","LOCAL","1200.00"
"174","4",NULL,"2","2","LOCAL","700.00"
"175","5",NULL,"2","1","LOCAL","1100.00"
"176","5",NULL,"2","2","LOCAL","650.00"
"177","6",NULL,"2","1","CORREDOR","1300.00"
"178","6",NULL,"2","2","CORREDOR","900.00"
"179","7",NULL,"2","1","CORREDOR","1300.00"
"180","7",NULL,"2","2","CORREDOR","900.00"
"181","8",NULL,"2","1","CORREDOR","1300.00"
"182","8",NULL,"2","2","CORREDOR","900.00"
"183","9",NULL,"2","1","CORREDOR","1550.00"
"184","9",NULL,"2","2","CORREDOR","1000.00"
"185","10",NULL,"2","1","CORREDOR","1700.00"
"186","10",NULL,"2","2","CORREDOR","1100.00"
"187","11",NULL,"2","1","CORREDOR","2100.00"
"188","11",NULL,"2","2","CORREDOR","1500.00"
"189","12",NULL,"2","1","CORREDOR","2400.00"
"190","12",NULL,"2","2","CORREDOR","1700.00"
"191","13",NULL,"2","1","CORREDOR","3700.00"
"192","13",NULL,"2","2","CORREDOR","3000.00"
"193","1",NULL,"21","1","LOCAL","750.00"
"194","1",NULL,"21","2","LOCAL","450.00"
"195","2",NULL,"21","1","LOCAL","750.00"
"196","2",NULL,"21","2","LOCAL","450.00"
"197","3",NULL,"21","1","LOCAL","1000.00"
"198","3",NULL,"21","2","LOCAL","600.00"
"199","4",NULL,"21","1","LOCAL","1200.00"
"200","4",NULL,"21","2","LOCAL","700.00"
"201","5",NULL,"21","1","LOCAL","1200.00"
"202","5",NULL,"21","2","LOCAL","650.00"
"203","6",NULL,"21","1","CORREDOR","1300.00"
"204","6",NULL,"21","2","CORREDOR","900.00"
"205","7",NULL,"21","1","CORREDOR","1300.00"
"206","7",NULL,"21","2","CORREDOR","900.00"
"207","8",NULL,"21","1","CORREDOR","1300.00"
"208","8",NULL,"21","2","CORREDOR","900.00"
"209","9",NULL,"21","1","CORREDOR","1600.00"
"210","9",NULL,"21","2","CORREDOR","1000.00"
"211","10",NULL,"21","1","CORREDOR","1700.00"
"212","10",NULL,"21","2","CORREDOR","1100.00"
"213","11",NULL,"21","1","CORREDOR","2100.00"
"214","11",NULL,"21","2","CORREDOR","1600.00"
"215","12",NULL,"21","1","CORREDOR","2400.00"
"216","12",NULL,"21","2","CORREDOR","1700.00"
"217","13",NULL,"21","1","CORREDOR","3700.00"
"218","13",NULL,"21","2","CORREDOR","3000.00"
"219","1",NULL,"23","1","LOCAL","750.00"
"220","1",NULL,"23","2","LOCAL","450.00"
"221","2",NULL,"23","1","LOCAL","750.00"
"222","2",NULL,"23","2","LOCAL","450.00"
"223","3",NULL,"23","1","LOCAL","1000.00"
"224","3",NULL,"23","2","LOCAL","600.00"
"225","4",NULL,"23","1","LOCAL","1200.00"
"226","4",NULL,"23","2","LOCAL","700.00"
"227","5",NULL,"23","1","LOCAL","1200.00"
"228","5",NULL,"23","2","LOCAL","650.00"
"229","6",NULL,"23","1","CORREDOR","1300.00"
"230","6",NULL,"23","2","CORREDOR","900.00"
"231","7",NULL,"23","1","CORREDOR","1300.00"
"232","7",NULL,"23","2","CORREDOR","900.00"
"233","8",NULL,"23","1","CORREDOR","1300.00"
"234","8",NULL,"23","2","CORREDOR","900.00"
"235","9",NULL,"23","1","CORREDOR","1600.00"
"236","9",NULL,"23","2","CORREDOR","1000.00"
"237","10",NULL,"23","1","CORREDOR","1700.00"
"238","10",NULL,"23","2","CORREDOR","1100.00"
"239","11",NULL,"23","1","CORREDOR","2100.00"
"240","11",NULL,"23","2","CORREDOR","1600.00"
"241","12",NULL,"23","1","CORREDOR","2400.00"
"242","12",NULL,"23","2","CORREDOR","1700.00"
"243","13",NULL,"23","1","CORREDOR","3700.00"
"244","13",NULL,"23","2","CORREDOR","3000.00"
"245","1",NULL,"24","1","LOCAL","750.00"
"246","1",NULL,"24","2","LOCAL","450.00"
"247","2",NULL,"24","1","LOCAL","750.00"
"248","2",NULL,"24","2","LOCAL","450.00"
"249","3",NULL,"24","1","LOCAL","1000.00"
"250","3",NULL,"24","2","LOCAL","600.00"
"251","4",NULL,"24","1","LOCAL","1200.00"
"252","4",NULL,"24","2","LOCAL","700.00"
"253","5",NULL,"24","1","LOCAL","1200.00"
"254","5",NULL,"24","2","LOCAL","650.00"
"255","6",NULL,"24","1","CORREDOR","1300.00"
"256","6",NULL,"24","2","CORREDOR","900.00"
"257","7",NULL,"24","1","CORREDOR","1300.00"
"258","7",NULL,"24","2","CORREDOR","900.00"
"259","8",NULL,"24","1","CORREDOR","1300.00"
"260","8",NULL,"24","2","CORREDOR","900.00"
"261","9",NULL,"24","1","CORREDOR","1600.00"
"262","9",NULL,"24","2","CORREDOR","1000.00"
"263","10",NULL,"24","1","CORREDOR","1700.00"
"264","10",NULL,"24","2","CORREDOR","1100.00"
"265","11",NULL,"24","1","CORREDOR","2100.00"
"266","11",NULL,"24","2","CORREDOR","1600.00"
"267","12",NULL,"24","1","CORREDOR","2400.00"
"268","12",NULL,"24","2","CORREDOR","1700.00"
"269","13",NULL,"24","1","CORREDOR","3700.00"
"270","13",NULL,"24","2","CORREDOR","3000.00"
